Complexity,Loss,Equation
1,3696.5952,"154.09544"
3,170.76633,"x0 * 311.01324"
5,104.52968,"(-59.34502 / x0) - -292.79257"
7,95.689835,"361.98203 - (1065.6276 / exp(exp(x0)))"
9,95.38111,"331.03244 - ((1070.102 / exp(exp(x0))) + -32.320385)"
10,7.8404365,"exp(x0 - -4.217782) + ((-41.09255 / x0) + 136.44778)"
12,7.840427,"exp(log((exp(x0 - -4.217782) + 136.44778) + (-41.09255 / x0)))"
15,5.800052,"(((-3.0967283 / x0) + (2.2041059 - (x0 * (-12.588993 - x0)))) * 11.127765) + 136.92464"
